STOP_ID,CHANGE
20004214,UPDATE
20004215,UPDATE
20004216,UPDATE
20004217,UPDATE
20004218,UPDATE
20004504,UPDATE
20004505,UPDATE
20004512,UPDATE
20004514,UPDATE
20004519,UPDATE
20004520,UPDATE
20004528,UPDATE
20004529,UPDATE
20004530,UPDATE
20004532,UPDATE
20004533,UPDATE
20004539,UPDATE
20004541,UPDATE
20004542,UPDATE
20004544,UPDATE
20004545,UPDATE
20004546,UPDATE
20004547,UPDATE
20004549,UPDATE
20004552,UPDATE
20004553,UPDATE
20004557,UPDATE
20004558,UPDATE
20004559,UPDATE
20004560,UPDATE
20004561,UPDATE
20004563,UPDATE
20004564,UPDATE
20004565,UPDATE
20004566,UPDATE
20004567,UPDATE
20004568,UPDATE
20004571,UPDATE
20004572,UPDATE
20004573,UPDATE
20004576,UPDATE
20004578,UPDATE
20004583,UPDATE
20004588,UPDATE
20004589,UPDATE
20004590,UPDATE
20004591,UPDATE
20004593,UPDATE
20004594,UPDATE
20004596,UPDATE
20004600,UPDATE
20004603,UPDATE
20004604,UPDATE
20004605,UPDATE
20004609,UPDATE
20005001,UPDATE
20005002,UPDATE
20005003,UPDATE
20005007,UPDATE
20005008,UPDATE
20005009,UPDATE
20005010,UPDATE
20005011,UPDATE
20005012,UPDATE
20005013,UPDATE
20005015,UPDATE
20005016,UPDATE
20005017,UPDATE
20005018,UPDATE
20005021,UPDATE
20005022,UPDATE
20005023,UPDATE
20005032,UPDATE
20005036,UPDATE
20005037,UPDATE
20005039,UPDATE
